,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd,business_code_enc,day_of_cleardate,month_of_cleardate,year_of_cleardate,day_of_postingdate,month_of_postingdate,year_of_postingdate,day_of_dueindate,month_of_dueindate,year_of_dueindate,day_of_baselinecreatedate,month_of_baselinecreatedate,year_of_baselinecreatedate,cust_payment_terms_enc,name_customer_enc,Aging Bucket
0,CA02,140105686,SYSC llc,2020-04-05 04:38:18.806434873,2020,2960623488,2020-03-30 00:00:00.000000000,2020-04-10 00:00:00.000000000,2020-03-31 00:00:00.000000000,CA10,2307.4825174825173,64,,,,30,3,2020,10,4,2020,31,3,2020,5,2712,
1,U001,200744019,TARG us,2020-04-08 17:35:11.894793075,2020,1930659387,2020-03-19 00:00:00.000000000,2020-04-03 00:00:00.000000000,2020-03-19 00:00:00.000000000,NAA8,11173.02,64,,,,19,3,2020,3,4,2020,19,3,2020,20,2795,0-15
2,U001,200418007,AM ,2020-03-31 09:04:30.360402934,2020,1930610806,2020-11-03 00:00:00.000000000,2020-03-26 00:00:00.000000000,2020-03-11 00:00:00.000000000,NAA8,3525.59,64,,,,3,11,2020,26,3,2020,11,3,2020,20,93,0-15
3,U001,200739534,OK systems,2020-04-24 22:54:34.190262568,2020,1930788296,2020-04-15 00:00:00.000000000,2020-04-30 00:00:00.000000000,2020-04-15 00:00:00.000000000,NAA8,121105.65,64,,,,15,4,2020,30,4,2020,15,4,2020,20,2021,
4,U001,200353024,DECA corporation,2020-03-20 00:00:00.000000000,2020,1930817482,2020-04-23 00:00:00.000000000,2020-04-26 00:00:00.000000000,2020-04-16 00:00:00.000000000,NAM2,3726.06,64,,,,23,4,2020,26,4,2020,16,4,2020,34,722,
5,U001,200744019,TARG associates,2020-04-17 12:44:46.714313028,2020,1930676042,2020-03-21 00:00:00.000000000,2020-04-05 00:00:00.000000000,2020-03-21 00:00:00.000000000,NAA8,5893.01,64,,,,21,3,2020,5,4,2020,21,3,2020,20,2786,0-15
6,CA02,140106408,WAL-M corp,2020-03-26 11:05:08.571428572,2020,2960618790,2020-06-03 00:00:00.000000000,2020-03-16 00:00:00.000000000,2020-03-06 00:00:00.000000000,CA10,64917.671328671335,64,,,,3,6,2020,16,3,2020,6,3,2020,5,2973,0-15
7,U001,200337148,COAS llc,2020-04-21 23:50:24.000000000,2020,1930592246,2020-02-03 00:00:00.000000000,2020-03-17 00:00:00.000000000,2020-03-02 00:00:00.000000000,NAA8,11380.83,64,,,,3,2,2020,17,3,2020,2,3,2020,20,561,31-45
8,U001,200794332,COST associates,2020-05-11 11:58:59.131115458,2020,1930731070,2020-07-04 00:00:00.000000000,2020-04-22 00:00:00.000000000,2020-04-07 00:00:00.000000000,NAAX,3863.93,64,,,,4,7,2020,22,4,2020,7,4,2020,22,619,16-30
9,U001,200794332,COST llc,2020-06-04 22:25:34.509316770,2020,1930803605,2020-04-23 00:00:00.000000000,2020-05-08 00:00:00.000000000,2020-04-23 00:00:00.000000000,NAAX,74453.01,64,,,,23,4,2020,8,5,2020,23,4,2020,22,625,16-30
