,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd,business_code_enc,day_of_cleardate,month_of_cleardate,year_of_cleardate,day_of_postingdate,month_of_postingdate,year_of_postingdate,day_of_dueindate,month_of_dueindate,year_of_dueindate,day_of_baselinecreatedate,month_of_baselinecreatedate,year_of_baselinecreatedate,cust_payment_terms_enc,name_customer_enc,Aging Bucket
0,CA02,140105686,SYSC llc,2020-04-13 04:20:50.274271410,2020.0,2960623488.0,2020-03-30 00:00:00.000000000,2020-04-10 00:00:00.000000000,2020-03-31 00:00:00.000000000,CA10,2307.4825174825173,64,,,,30,3,2020,10,4,2020,31,3,2020,5,2712,0-15
1,U001,200744019,TARG us,2020-04-07 01:37:52.279464637,2020.0,1930659387.0,2020-03-19 00:00:00.000000000,2020-04-03 00:00:00.000000000,2020-03-19 00:00:00.000000000,NAA8,11173.02,64,,,,19,3,2020,3,4,2020,19,3,2020,20,2795,0-15
2,U001,200418007,AM ,2020-03-22 23:18:21.158562369,2020.0,1930610806.0,2020-03-11 00:00:00.000000000,2020-03-26 00:00:00.000000000,2020-03-11 00:00:00.000000000,NAA8,3525.59,64,,,,11,3,2020,26,3,2020,11,3,2020,20,93,
3,U001,200739534,OK systems,2020-05-01 17:49:44.838988266,2020.0,1930788296.0,2020-04-15 00:00:00.000000000,2020-04-30 00:00:00.000000000,2020-04-15 00:00:00.000000000,NAA8,121105.65,64,,,,15,4,2020,30,4,2020,15,4,2020,20,2021,0-15
4,U001,200353024,DECA corporation,2020-04-21 21:07:12.000000000,2020.0,1930817482.0,2020-04-23 00:00:00.000000000,2020-04-26 00:00:00.000000000,2020-04-16 00:00:00.000000000,NAM2,3726.06,64,,,,23,4,2020,26,4,2020,16,4,2020,34,722,
5,U001,200744019,TARG associates,2020-04-08 17:11:17.056355524,2020.0,1930676042.0,2020-03-21 00:00:00.000000000,2020-04-05 00:00:00.000000000,2020-03-21 00:00:00.000000000,NAA8,5893.01,64,,,,21,3,2020,5,4,2020,21,3,2020,20,2786,0-15
6,CA02,140106408,WAL-M corp,2020-03-29 21:10:04.800000000,2020.0,2960618790.0,2020-03-06 00:00:00.000000000,2020-03-16 00:00:00.000000000,2020-03-06 00:00:00.000000000,CA10,64917.671328671335,64,,,,6,3,2020,16,3,2020,6,3,2020,5,2973,0-15
7,U001,200337148,COAS llc,2020-03-17 04:03:35.964035964,2020.0,1930592246.0,2020-03-02 00:00:00.000000000,2020-03-17 00:00:00.000000000,2020-03-02 00:00:00.000000000,NAA8,11380.83,64,,,,2,3,2020,17,3,2020,2,3,2020,20,561,0-15
8,U001,200794332,COST associates,2020-04-21 15:56:21.175399694,2020.0,1930731070.0,2020-04-07 00:00:00.000000000,2020-04-22 00:00:00.000000000,2020-04-07 00:00:00.000000000,NAAX,3863.93,64,,,,7,4,2020,22,4,2020,7,4,2020,22,619,
9,U001,200794332,COST llc,2020-05-06 21:18:07.112247088,2020.0,1930803605.0,2020-04-23 00:00:00.000000000,2020-05-08 00:00:00.000000000,2020-04-23 00:00:00.000000000,NAAX,74453.01,64,,,,23,4,2020,8,5,2020,23,4,2020,22,625,
10,U001,200803720,DEC corp,2020-04-04 05:25:15.130434783,2020.0,1930698352.0,2020-03-25 00:00:00.000000000,2020-04-08 00:00:00.000000000,2020-03-16 00:00:00.000000000,NAM4,138.6,64,,,,25,3,2020,8,4,2020,16,3,2020,36,710,
